مصدر,بن مضارع
آزمود,آزما
آزرد,آزار
آسود,آسا
آشفت,آشوب
آغشت,آغار
آفرید,آفرین
آگند,آگین
آمد,آی
آموخت,آموز
آمیخت,آمیز
آورد,آور
آویخت,آویز
آهیخت,آهیز
افراخت,افراز
افراشت,افراز
افروخت,افروز
افزود,افزا
افشرد,افشار
انباشت,انبار
توخت,توز
جَست,جه
چید,چین
جُست,جو
خاست,خیز
خفت,خسب
داد,ده
داشت,دار
دانست,دان
درود,درو
دوخت,دوز
دوشید,دوش
دید,بین
ربود,ربا
رَست,رَه
رُست,رُو
رشت,ریس
رُفت,روب
رَفت,رو
زد,زن
زدود,زدا
کاشت,کار
کرد,کن
کِشت,کار
کوفت,کوب
گداخت,گداز
گذاشت,گذار
گرفت,گیر
گریخت,گریز
گزید,گزین
گسست,گسل
گسیخت,گسل
انداخت,انداز
اندود,اندا
انگاشت,انگار
انگیخت,انگیز
باخت,باز
بخشود,بخشا
برد,بر
بست,بند
بود,باش
بیخت,بیز
پالود,پالا
پخت,پز
پذیرفت,پذیر
پرداخت,پرداز
پنداشت,پندار
پیمود,پیما
پیوست,پیوند
تاخت,تاز
تافت,تاب
ساخت,ساز
سپرد,سپار
ستد,ستان
ستود,ستا
سرود,سرا
سفت,سنب
سوخت,سوز
شتافت,شتاب
شد,شو
شست,شوی
شکست,شکن
شمرد,شمار
شناخت,شناس
شنفت,شنو
شنید,شنو
فرمود,فرما
فروخت,فروش
فریفت,فریب
فشرد,فشار
کاست,کاه
گشت,گرد
گشود,گشا
گفت,گو
گماشت,گمار
مرد,میر
نگاشت,نگار
نواخت,نواز
نمود,نما
هشت,هل
یافت,یاب
